
/*------------------------------------------------------------------------------
//DO NOT EDIT
BEGIN
HAL_PHY_RATE_11AC_DUP_12_MBPS gl
HAL_PHY_RATE_11AC_DUP_18_MBPS gm
HAL_PHY_RATE_11AC_DUP_24_MBPS gn
HAL_PHY_RATE_11AC_DUP_36_MBPS go
HAL_PHY_RATE_11AC_DUP_48_MBPS gp
HAL_PHY_RATE_11AC_DUP_54_MBPS gq
HAL_PHY_RATE_11AC_DUP_6_MBPS gj
HAL_PHY_RATE_11AC_DUP_9_MBPS gk
HAL_PHY_RATE_11A_12_MBPS e8
HAL_PHY_RATE_11A_18_MBPS e9
HAL_PHY_RATE_11A_24_MBPS fa
HAL_PHY_RATE_11A_36_MBPS fb
HAL_PHY_RATE_11A_48_MBPS fc
HAL_PHY_RATE_11A_54_MBPS fd
HAL_PHY_RATE_11A_6_MBPS e6
HAL_PHY_RATE_11A_9_MBPS e7
HAL_PHY_RATE_11A_DUP_12_MBPS fg
HAL_PHY_RATE_11A_DUP_18_MBPS fh
HAL_PHY_RATE_11A_DUP_24_MBPS fi
HAL_PHY_RATE_11A_DUP_36_MBPS fj
HAL_PHY_RATE_11A_DUP_48_MBPS fk
HAL_PHY_RATE_11A_DUP_54_MBPS fl
HAL_PHY_RATE_11A_DUP_6_MBPS fe
HAL_PHY_RATE_11A_DUP_9_MBPS ff
HAL_PHY_RATE_11B_LONG_11_MBPS e2
HAL_PHY_RATE_11B_LONG_1_MBPS ez
HAL_PHY_RATE_11B_LONG_2_MBPS e0
HAL_PHY_RATE_11B_LONG_5_5_MBPS e1
HAL_PHY_RATE_11B_SHORT_11_MBPS e5
HAL_PHY_RATE_11B_SHORT_2_MBPS e3
HAL_PHY_RATE_11B_SHORT_5_5_MBPS e4
HAL_PHY_RATE_MCS_1NSS_13_MBPS fn
HAL_PHY_RATE_MCS_1NSS_19_5_MBPS fo
HAL_PHY_RATE_MCS_1NSS_26_MBPS fp
HAL_PHY_RATE_MCS_1NSS_39_MBPS fq
HAL_PHY_RATE_MCS_1NSS_52_MBPS fr
HAL_PHY_RATE_MCS_1NSS_58_5_MBPS fs
HAL_PHY_RATE_MCS_1NSS_65_MBPS ft
HAL_PHY_RATE_MCS_1NSS_6_5_MBPS fm
HAL_PHY_RATE_MCS_1NSS_CB_108_MBPS f7
HAL_PHY_RATE_MCS_1NSS_CB_121_5_MBPS f8
HAL_PHY_RATE_MCS_1NSS_CB_135_MBPS f9
HAL_PHY_RATE_MCS_1NSS_CB_13_5_MBPS f2
HAL_PHY_RATE_MCS_1NSS_CB_27_MBPS f3
HAL_PHY_RATE_MCS_1NSS_CB_40_5_MBPS f4
HAL_PHY_RATE_MCS_1NSS_CB_54_MBPS f5
